name,url
"FAB 1 Sqmm Single Core Red FR PVC CCS Copper Insulated House Wire, Length: 91 m",https://www.moglix.com/fab-1-sqmm-single-core-red-fr-pvc-ccs-copper-insulated-house-wire-length-91-m/mp/msno5wn7r38w51
"Zokasa Rio Pro 50W 2400rpm 1 Star Black Anti-Dust Pedestal Fan, Sweep: 400 mm",https://www.moglix.com/zokasa-rio-pro-50w-2400rpm-1-star-black-anti-dust-pedestal-fan-sweep-400-mm/mp/msn39yrnoj325q
"Cybernautt V4K 4MP Dual Lens Full HD Smart Wi-Fi Camera with Colour Night Vision, Human & Motion Detect, 2 Way Audio, Alarm & Support 256GB SD",https://www.moglix.com/cybernautt-v4k-4mp-dual-lens-full-hd-smart-wi-fi-camera-with-colour-night-vision-human-motion-detect-2-way-audio-alarm-support-256gb-sd/mp/msnr50no16p451
"Aplus 12 Litre Hand Operating Milking Machine, C12",https://www.moglix.com/aplus-12l-hand-operating-milking-machine/mp/msn39yrz2l1l5q
"Stardom Racer Vitara 55W 410rpm Met Blue 3 Blade Ceiling Fan, Sweep: 1200 mm",https://www.moglix.com/stardom-racer-vitara-55w-410rpm-met-blue-3-blade-ceiling-fan-sweep-1200-mm/mp/msn457moyvvq9j
RUTH 28 Pcs 48V 0-2400rpm 850Nm 4 in 1 Red & Black Cordless Impact Wrench Kit,https://www.moglix.com/ruth-28-pcs-48v-0-2400rpm-850nm-4-in-1-red-black-cordless-impact-wrench-kit/mp/msnpkep8lyjd9g
Dr. Morepen Gluco One BG-03 50 Pcs Glucometer Strips Box,https://www.moglix.com/dr-morepen-gluco-one-bg-03-50-pcs-glucometer-strips-box/mp/msn39yrpxwpl5q
"Jakmister 18000rpm 950W Silver Unbreakable Heavy Duty Air Blower with Vacuum Suction Pipe, P-SIL950W",https://www.moglix.com/jakmister-18000rpm-950w-silver-unbreakable-heavy-duty-air-blower-with-vacuum-suction-pipe/mp/msnrkrewgen89n
Abbott FreeStyle Libre 2 Plus 1�L Glucometer Sensor,https://www.moglix.com/abbott-freestyle-libre-2-plus-glucometer-sensor/mp/msne9j8olxwr9d-g
"Finoflex 1.5 Sqmm PVC Single Core Black Insulated Electrical Wire, Length: 60 m",https://www.moglix.com/finoflex-15-sqmm-pvc-single-core-black-insulated-electrical-wire-length-60-m/mp/msn75dqlz8wd92
"Prestige Stainless Steel 304 Single Bowl Kitchen Sink 24x18x10 inch Chrome Handmade with Waste Pipe, Waste Coupling & Drain Basket",https://www.moglix.com/prestige-24x18x10-inch-stainless-steel-304-chrome-finish-silver-single-bowl-handmade-kitchen-sink/mp/msnrkren3yr39n
Imported 22 inch 68cc 3.2kW 2 Stroke Petrol Operated Chainsaw for Wood Cutting & Carpentry Use,https://www.moglix.com/imported-22-inch-68cc-32kw-2-stroke-petrol-operated-chainsaw-for-garden-yard-agriculture-rescue-landscapes/mp/msnv5oopwde056
OneXsale 1929x1080p 600lm Yellow Mini HD Movies Portable Projector with 1 Speaker For Home & Business,https://www.moglix.com/onexsale-1929x1080p-600lm-yellow-mini-hd-movies-portable-projector-with-1-speaker-for-home-business/mp/msn153vom88yk3
Fastgear Fusion Stainless Steel Long Body Tap (Pack of 8),https://www.moglix.com/fastgear-fusion-stainless-steel-long-body-tap-pack-of-8/mp/msn8klpz426r5v
Vox V7171 7.1 Channel Black Home Theater Speaker System,https://www.moglix.com/vox-v7171-71-channel-black-home-theater-speaker-system/mp/msn8klpr11ln5v
300W Natural White Square LED Flood Light,https://www.moglix.com/generic-300w-natural-white-square-led-flood-light/mp/msn457mz3dpn9j
"Godhan 1.2kg Mild Steel Anti Kick Bar for Cows & Buffaloes, TI-GM-21119",https://www.moglix.com/cowfy-12kg-mild-steel-anti-kick-bar-for-cows-buffaloes-ti-gm-21119/mp/msnr50ne34p451
"Power Pixel PP12G 12MP 6K Ultra HD PT 4G Sim Camera with Night Vision, Human Detect, Motion Detect, Two Way Audio, Alarm & Support 128GB SD Card",https://www.moglix.com/power-pixel-pp12g-12mp-6k-ultra-hd-pt-4g-sim-camera-with-night-vision-human-detect-motion-detect-two-way-audio-alarm-support-128gb-sd-card/mp/msn19z2or7m853
"Voltz 2HP 2 Stroke 52cc Heavy Duty Brush Cutter Machine for Grass Trimming & Lawn Cutting, VX-44F",https://www.moglix.com/voltz-2hp-2-stroke-52cc-orange-heavy-duty-brush-cutter-machine-for-grass-trimming-lawn-cutting-vx-44f/mp/msng9vnmx266kp
EGK 250W Cool White Waterproof LED Flood Light,https://www.moglix.com/egk-250w-cool-white-waterproof-led-flood-light/mp/msno5wn0xjlr51
"FAB 2.5 Sqmm Single Core Red FR PVC CCS Copper Insulated House Wire, Length: 91 m",https://www.moglix.com/fab-25-sqmm-single-core-red-fr-pvc-ccs-copper-insulated-house-wire-length-91-m/mp/msno5wn7r36w51
